code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
000422,湖北宜化,4.4,2.27,10,13.440000000000001,6,7.0,43.11
000100,TCL科技,3.3,1.98,6,17.77,4,6.0,39.05
600039,四川路桥,1.7,6.72,6,16.4,8,0.0,38.82
000426,兴业银锡,5.6,0.27,10,16.2,2,4.0,38.07
000506,招金黄金,3.2,0.0,10,20.0,4,0.0,37.2
600066,宇通客车,1.9,8.04,2,19.23,6,0.0,37.17
000338,潍柴动力,5.7,3.93,10,9.9,6,0.0,35.53
000534,万泽股份,2.6,0.23,10,11.5,4,7.0,35.33
000543,皖能电力,1.0,6.15,6,16.06,6,0.0,35.21
600057,厦门象屿,2.0,6.69,4,17.990000000000002,4,0.0,34.68
600026,中远海能,4.3,1.49,10,1.73,10,7.0,34.52
000151,中成股份,2.0,0.0,6,17.509999999999998,4,5.0,34.51
000035,中国天楹,1.0,0.95,10,11.85,10,0.0,33.8
000518,*ST四环,2.0,0.0,8,17.7,6,0.0,33.7
000531,穗恒运Ａ,1.8,3.93,6,15.73,6,0.0,33.46
600010,包钢股份,3.8,0.13,10,17.43,2,0.0,33.36
000519,中兵红箭,1.8,0.0,6,19.48,4,2.0,33.28
000155,川能动力,1.0,2.39,8,17.85,4,0.0,33.24
600011,华能国际,2.8,4.73,4,13.58,8,0.0,33.11
600019,宝钢股份,4.2,5.38,3,16.18,4,0.0,32.76
000059,华锦股份,1.7,0.59,6,20.0,4,0.0,32.29
000050,深天马Ａ,1.8,0.0,4,17.32,2,7.0,32.12
000509,华塑控股,1.0,0.0,8,9.07,10,4.0,32.07
600030,中信证券,1.0,4.21,2,20.0,4,0.0,31.21
000166,申万宏源,2.1,2.99,2,20.0,4,0.0,31.09
000099,中信海直,1.2,1.75,4,16.11,8,0.0,31.06
000421,南京公用,1.0,1.71,4,20.0,4,0.0,30.71
000400,许继电气,5.7,2.51,10,2.4299999999999997,8,2.0,30.64
000301,东方盛虹,3.0,0.0,8,13.620000000000001,4,2.0,30.62
600032,浙江新能,1.7,1.23,6,15.6,6,0.0,30.53
000157,中联重科,4.2,6.98,8,6.29,4,0.0,29.47
000408,藏格矿业,4.0,2.49,2,18.87,2,0.0,29.36
600063,皖维高新,1.0,3.98,8,12.27,4,0.0,29.25
600000,浦发银行,5.1,6.51,2,5.9799999999999995,6,3.5,29.09
000017,深中华A,2.0,0.0,3,20.0,4,0.0,29.0
000011,深物业A,2.1,0.0,3,19.6,4,0.0,28.7
600009,上海机场,1.9,3.34,2,16.75,4,0.0,27.99
600020,中原高速,2.2,6.89,3,11.559999999999999,4,0.0,27.65
600022,山东钢铁,1.8,0.0,6,13.85,4,2.0,27.65
000066,中国长城,1.5,0.0,6,16.13,2,2.0,27.63
600027,华电国际,1.3,6.73,6,6.63,6,0.0,26.66
600036,招商银行,6.3,9.79,3,1.57,6,0.0,26.66
000020,深华发Ａ,1.9,0.0,4,16.45,4,0.0,26.35
000088,盐 田 港,1.8,7.63,4,5.39,4,3.5,26.32
000060,中金岭南,4.5,1.89,10,7.74,2,0.0,26.13
600061,国投资本,1.9,3.43,3,13.620000000000001,4,0.0,25.95
600028,中国石化,6.1,5.68,6,-0.010000000000000148,8,0.0,25.77
000062,深圳华强,1.8,4.62,3,11.780000000000001,2,2.0,25.2
000012,南  玻Ａ,1.0,2.86,6,9.26,4,2.0,25.12
000029,深深房Ａ,1.0,0.0,3,19.0,2,0.0,25.0
600051,宁波联合,2.0,2.97,6,10.0,4,0.0,24.97
000058,深 赛 格,2.1,0.31,2,16.55,2,2.0,24.96
