code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
600021,上海电力,3.6,2.55,6,-1.14,6,0.0,17.01
000063,中兴通讯,1.0,3.26,3,1.54,6,2.0,16.8
000523,红棉股份,1.0,0.0,3,4.68,6,2.0,16.68
600018,上港集团,3.5,6.44,3,-2.27,6,0.0,16.67
300979,华利集团,2.2,9.28,2,-10.0,6,7.0,16.48
600519,贵州茅台,7.0,6.07,3,-3.72,4,0.0,16.35
600029,南方航空,3.5,0.0,2,6.29,4,0.0,15.79
000048,京基智农,1.0,6.52,8,-10.0,10,0.0,15.52
000513,丽珠集团,2.2,5.75,4,-2.82,6,0.0,15.13
000039,中集集团,3.9,1.16,10,-10.0,6,3.5,14.56
600007,中国国贸,2.1,8.37,4,-6.43,6,0.0,14.04
601006,大秦铁路,4.9,7.02,4,-10.0,6,2.0,13.92
000530,冰山冷热,2.1,1.57,2,1.5,6,0.0,13.17
600008,首创环保,2.0,9.14,6,-10.0,6,0.0,13.14
600016,民生银行,3.5,6.72,4,-7.1,6,0.0,13.12
600064,南京高科,2.1,5.93,4,-4.96,6,0.0,13.07
000538,云南白药,3.3,4.16,3,-3.51,6,0.0,12.95
000078,海王生物,1.6,0.0,2,3.18,6,0.0,12.78
600058,五矿发展,1.0,0.0,4,1.65,6,0.0,12.65
000407,胜利股份,1.0,2.11,4,3.36,2,0.0,12.47
000539,粤电力Ａ,1.6,0.78,8,-4.3,6,0.0,12.08
000536,华映科技,1.0,0.0,3,-0.37,8,0.0,11.63
600017,日照港,1.9,6.32,6,-8.64,6,0.0,11.58
000404,长虹华意,2.1,6.87,6,-10.0,6,0.0,10.97
000070,特发信息,3.7,0.0,10,-10.0,2,5.0,10.7
000520,凤凰航运,1.0,0.0,2,0.85,4,2.0,9.85
000016,深康佳Ａ,1.0,0.0,2,-1.2,6,2.0,9.8
300364,中文在线,4.1,0.0,6,-10.0,6,3.5,9.6
000401,金隅冀东,1.6,3.93,8,-10.0,6,0.0,9.53
000156,华数传媒,1.0,4.43,6,-10.0,8,0.0,9.43
000521,长虹美菱,2.1,8.23,3,-10.0,6,0.0,9.33
600048,保利发展,2.4,4.78,4,-10.0,4,4.0,9.18
600035,楚天高速,2.1,7.07,4,-10.0,6,0.0,9.17
000014,沙河股份,1.0,0.0,6,-10.0,10,2.0,9.0
000090,天健集团,1.9,4.73,6,-10.0,6,0.0,8.63
000410,沈阳机床,1.7,0.0,6,-7.13,8,0.0,8.57
000061,农 产 品,2.0,1.29,2,-10.0,6,7.0,8.29
000028,国药一致,1.8,2.9,4,-6.47,6,0.0,8.23
000045,深纺织Ａ,1.0,1.17,6,-10.0,10,0.0,8.17
000498,山东路桥,2.2,5.71,4,-10.0,6,0.0,7.91
000007,全新好,1.6,0.0,8,-10.0,8,0.0,7.6
000153,丰原药业,2.1,3.11,6,-10.0,6,0.0,7.21
000027,深圳能源,1.0,4.18,6,-10.0,6,0.0,7.18
000524,岭南控股,1.8,1.24,6,-10.0,6,2.0,7.04
000525,红太阳,1.0,0.0,10,-10.0,6,0.0,7.0
000516,国际医学,1.0,0.0,6,-10.0,10,0.0,7.0
600054,黄山旅游,1.0,3.83,6,-10.0,6,0.0,6.83
600037,歌华有线,2.0,0.72,6,-10.0,8,0.0,6.72
000529,广弘控股,2.2,4.04,4,-10.0,6,0.0,6.24
000056,皇庭国际,1.0,0.0,4,-6.86,8,0.0,6.14
000541,佛山照明,2.0,3.9,4,-10.0,6,0.0,5.9
000034,神州数码,1.0,1.3,4,-10.0,6,3.5,5.8
000403,派林生物,1.9,3.83,4,-10.0,6,0.0,5.73
000501,武商集团,1.6,5.63,2,-10.0,6,0.0,5.23
000019,深粮控股,1.0,4.02,6,-10.0,4,0.0,5.02
000428,华天酒店,1.0,0.0,8,-10.0,6,0.0,5.0
000411,英特集团,1.7,5.18,2,-10.0,6,0.0,4.88
000026,飞亚达,1.6,4.93,2,-10.0,6,0.0,4.53
000158,常山北明,1.0,0.0,4,-10.0,6,3.5,4.5
000055,方大集团,2.2,2.63,3,-10.0,6,0.0,3.83
000042,中洲控股,1.7,0.0,6,-10.0,6,0.0,3.7
300298,三诺生物,1.8,2.54,3,-10.0,6,0.0,3.34
000004,*ST国华,1.6,0.0,2,-2.54,2,0.0,3.06
000065,北方国际,1.0,2.02,6,-10.0,4,0.0,3.02
000010,美丽生态,1.0,0.0,8,-10.0,4,0.0,3.0
000159,国际实业,1.0,0.0,8,-10.0,2,2.0,3.0
000510,新金路,1.0,0.0,10,-10.0,2,0.0,3.0
000159,国际实业,1.0,0.0,8,-10.0,2,2.0,3.0
000415,渤海租赁,1.0,0.0,8,-10.0,4,0.0,3.0
000420,吉林化纤,1.0,0.0,4,-10.0,8,0.0,3.0
000417,合百集团,1.0,2.94,3,-10.0,6,0.0,2.94
600059,古越龙山,1.0,1.72,4,-10.0,6,0.0,2.72
000009,中国宝安,2.0,0.64,2,-10.0,8,0.0,2.64
000032,深桑达Ａ,1.9,1.22,2,-10.0,6,1.5,2.62
000528,柳    工,2.0,4.51,2,-10.0,4,0.0,2.51
000096,广聚能源,1.0,1.29,6,-10.0,2,2.0,2.29
600055,万东医疗,2.0,1.77,2,-10.0,6,0.0,1.77
000514,渝 开 发,2.1,0.0,3,-10.0,6,0.0,1.1
000069,华侨城Ａ,2.1,0.0,3,-8.4,4,0.0,0.7
000503,国新健康,1.5,0.0,3,-10.0,6,0.0,0.5
000526,学大教育,2.2,0.0,2,-10.0,6,0.0,0.2
000002,万  科Ａ,1.0,0.0,3,-10.0,6,0.0,0.0
600053,九鼎投资,1.0,0.0,2,-10.0,6,0.0,-1.0
000505,京粮控股,1.0,0.5,2,-10.0,2,0.0,-4.5
