code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
600066,宇通客车,2.0,8.29,8,13.0,10,2.0,43.29
600010,包钢股份,2.6,0.13,10,17.43,10,2.0,42.16
000062,深圳华强,5.2,0.7,8,18.78,8,0.0,40.68
000155,川能动力,4.2,0.0,10,20.0,6,0.0,40.2
600026,中远海能,3.9,3.31,10,16.17,6,0.0,39.38
000157,中联重科,2.3,4.4,6,19.48,6,0.0,38.18
000518,*ST四环,2.2,0.0,10,17.7,6,0.0,35.9
000402,金 融 街,1.5,0.0,8,10.09,10,6.0,35.59
000426,兴业银锡,2.0,0.33,8,16.2,8,0.0,34.53
000408,藏格矿业,2.8,3.64,4,17.68,6,0.0,34.12
000028,国药一致,1.9,4.55,6,15.21,4,2.0,33.66
600032,浙江新能,3.0,0.76,10,15.6,2,2.0,33.36
000543,皖能电力,2.5,6.57,6,16.06,2,0.0,33.13
000534,万泽股份,1.0,0.22,10,11.5,10,0.0,32.72
000506,招金黄金,1.0,0.0,10,15.48,6,0.0,32.48
600030,中信证券,2.1,3.14,3,15.96,8,0.0,32.2
000519,中兵红箭,2.1,0.0,4,19.48,6,0.0,31.58
600031,三一重工,4.1,1.77,4,13.48,8,0.0,31.35
000100,TCL科技,3.6,4.1,3,16.51,4,0.0,31.21
000059,华锦股份,1.8,0.67,4,20.0,4,0.0,30.47
000409,云鼎科技,2.1,0.0,4,17.74,6,0.0,29.84
600057,厦门象屿,2.1,2.48,3,17.99,4,0.0,29.57
600019,宝钢股份,3.6,3.73,2,16.18,4,0.0,29.51
000020,深华发Ａ,1.0,0.0,8,16.45,4,0.0,29.45
000422,湖北宜化,3.5,2.48,8,13.44,2,0.0,29.42
000488,ST晨鸣,1.7,0.0,10,15.55,2,0.0,29.25
000066,中国长城,1.0,0.0,6,16.13,6,0.0,29.13
000539,粤电力Ａ,2.5,0.72,10,13.88,2,0.0,29.1
000430,ST张家界,2.3,0.0,4,12.57,6,4.0,28.87
600063,皖维高新,1.7,0.54,10,2.26,8,6.0,28.5
000419,通程控股,2.2,4.59,4,11.59,6,0.0,28.38
000017,深中华A,2.3,0.0,2,20.0,4,0.0,28.3
600062,华润双鹤,1.0,4.12,4,15.09,4,0.0,28.21
000423,东阿阿胶,2.9,4.83,8,10.41,2,0.0,28.14
000301,东方盛虹,2.5,0.0,6,13.62,6,0.0,28.12
000401,金隅冀东,2.0,4.15,6,11.61,4,0.0,27.76
000151,中成股份,2.2,0.0,4,17.51,4,0.0,27.71
600020,中原高速,2.3,7.33,2,11.56,4,0.0,27.19
000029,深深房Ａ,1.8,0.35,2,17.0,6,0.0,27.15
