日期,收盘,开盘,最高,最低,成交额
20260522,111.8,99.99,161.0,99.99,3088321095.0
20260525,88.9,99.0,105.98,88.88,1565430411.0
20260526,89.18,84.01,93.99,77.78,1305083241.0
20260527,78.5,84.62,86.2,78.0,806992327.0
