日期,收盘,开盘,最高,最低,成交额
20260522,138.8,180.0,195.88,130.0,1875174226.0
20260525,101.73,125.0,125.0,98.1,722020868.0
20260526,85.7,101.0,101.0,85.3,490223793.0
20260527,83.99,83.04,88.98,82.08,321562749.0
