日期,收盘,开盘,最高,最低,成交额
20260522,127.68,88.0,140.91,87.7,3109452880.0
20260525,99.49,108.0,112.0,98.75,2259602006.0
20260526,86.08,90.0,95.2,82.39,1675049649.0
20260527,73.25,81.02,85.79,72.66,1252536242.0
