日期,收盘,成交额,开盘,最高,最低
20210318,68.52,145702.07,67.79,76.37,67.07
20210319,76.42,144822.83,63.29,86.4,62.88
20210322,68.35,123323.76,78.93,81.8,66.35
20210323,58.38,100894.87,64.91,65.99,58.36
20210324,55.51,75634.67,55.21,60.88,54.87
20210325,53.57,63100.84,54.86,58.16,53.18
20210326,52.75,54908.7,52.83,53.9,51.87
20210329,53.03,45610.31,52.62,53.96,51.81
20210330,53.23,52425.41,53.92,55.84,53.08
20210331,49.42,52920.91,52.27,52.27,49.29
20210401,49.56,37097.73,49.45,50.26,48.31
20210402,49.77,38816.27,49.82,50.45,48.39
20210406,50.84,37794.4,49.74,51.75,49.61
20210407,52.06,45229.2,50.62,52.45,50.3
20210408,50.9,58926.26,52.55,54.85,50.9
20210409,53.59,57455.49,49.82,54.13,48.96
20210412,50.37,38040.42,53.27,53.27,50.24
20210413,50.75,22759.83,49.83,51.69,49.83
20210414,51.76,26217.4,50.83,52.33,50.75
20210415,49.71,27092.7,51.65,51.78,49.46
20210416,49.44,27567.41,49.71,49.98,48.06
20210419,51.24,33015.43,49.44,51.87,49.26
20210420,51.1,28324.55,51.17,52.22,50.33
20210421,49.56,22886.71,50.47,50.76,49.19
20210422,51.37,29225.41,49.82,51.58,49.23
20210423,53.2,46582.59,52.56,54.7,51.81
20210426,50.18,36323.72,51.91,51.91,50.18
20210427,47.61,29494.42,49.85,50.17,47.42
20210428,49.36,26742.69,47.81,50.32,47.71
20210429,49.03,28339.57,49.02,51.53,48.59
20210430,48.6,21149.54,48.87,49.38,47.44
20210506,48.94,15303.97,48.97,49.47,48.38
20210507,47.92,16992.84,49.1,49.11,47.51
20210510,44.63,23176.01,47.66,47.88,44.13
20210511,44.48,14480.44,44.22,45.42,43.64
20210512,44.61,18058.0,44.07,45.04,43.46
20210513,42.99,17012.85,44.04,44.64,42.96
20210514,43.66,16650.81,43.02,43.86,42.67
20210517,45.54,27128.89,44.07,46.59,43.2
20210518,45.14,21210.89,45.01,47.13,44.83
20210519,50.54,49230.08,45.31,51.99,44.68
20210520,58.91,82774.19,52.55,60.24,52.55
20210521,56.33,56841.71,56.94,58.93,55.5
20210524,58.58,56490.94,56.74,59.88,56.65
20210525,59.23,52840.6,59.98,62.6,58.47
20210526,60.6,42907.63,59.52,62.35,57.35
20210527,59.0,29461.24,58.45,60.83,58.09
20210528,65.03,50396.64,58.6,68.77,58.52
20210531,67.52,41862.42,66.93,70.5,65.65
20210601,65.02,32582.75,68.22,68.36,64.44
20210602,63.71,22829.03,65.06,66.71,63.2
20210603,62.33,26989.14,63.57,66.11,62.2
20210604,66.21,40159.66,61.41,67.57,61.41
20210607,66.88,27284.99,66.21,68.57,64.91
20210608,65.52,25790.08,66.91,68.86,65.27
20210609,70.11,30874.06,65.88,71.02,64.4
20210610,73.95,36427.14,72.83,75.53,69.23
20210611,71.81,19490.9,73.92,74.76,70.81
20210615,72.28,13250.04,71.24,74.6,70.64
20210616,65.32,26500.18,72.09,72.09,64.41
20210617,68.62,17557.33,65.56,69.97,65.56
20210618,69.76,18237.23,69.46,71.19,67.08
20210621,68.57,17567.4,69.33,70.7,67.21
20210622,71.42,21482.33,68.82,73.48,68.49
20210623,71.27,16508.47,70.69,73.57,70.36
20210624,65.7,26950.66,70.78,71.12,64.94
20210625,65.61,11211.71,65.73,66.83,64.78
