日期,收盘,成交额,开盘,最高,最低
20260313,29.7,59973366.0,,,
20260323,26.12,24444880.0,,,
20260324,26.72,17596975.0,,,
20260325,27.12,19204757.0,,,
20260326,26.56,18867620.0,,,
20260327,26.88,15671002.0,,,
20260330,26.64,13201106.0,,,
20260401,27.0,14329950.0,,,
20260402,27.02,27000245.0,,,
20260403,26.4,17273841.0,,,
20260410,26.81,35448524.0,,,
20260413,26.13,26295991.0,,,
20260414,26.54,20326178.0,,,
20260415,26.44,21168412.0,,,
20260416,26.79,12470091.0,,,
20260417,29.16,73473116.0,,,
20260420,29.75,89976640.0,,,
20260421,29.82,55611033.0,,,
20260422,31.22,67021322.0,,,
20260423,29.57,51314912.0,,,
20260424,29.12,32219413.0,,,
20260427,28.63,21955702.0,,,
20260428,28.88,22160648.0,,,
20260429,29.15,19831518.0,,,
20260430,30.61,53879526.0,,,
20260506,30.95,52906962.0,,,
20260507,31.16,48406381.0,,,
20260508,32.55,77663796.0,,,
20260511,32.31,60894335.0,32.51,33.39,31.8
20260512,32.04,47081281.0,32.3,33.3,31.64
20260513,31.9,39620214.0,31.72,31.96,31.24
20260514,31.39,44677668.0,32.25,32.49,31.33
20260515,32.1,35228765.0,31.22,32.22,30.56
20260518,30.72,31178227.0,31.3,31.8,30.38
20260519,31.58,21041925.0,30.65,31.79,30.65
20260520,32.85,65560993.0,31.88,33.2,30.94
20260521,30.4,67900058.0,32.78,33.3,30.35
20260522,31.15,37113105.0,30.28,31.47,30.08
20260525,29.99,37391417.0,30.93,31.47,29.93
20260526,28.34,42073976.0,29.99,30.49,27.67
20260527,26.99,31578682.0,28.36,28.7,26.85
