日期,收盘,开盘,最高,最低,成交额
20260515,130.4,120.0,150.0,120.0,3630998475.0
20260518,95.26,100.0,107.0,91.0,2380860110.0
20260519,93.6,92.0,100.28,90.21,1710343902.0
20260520,108.02,90.02,114.8,86.84,2636067422.0
20260521,91.87,104.0,108.0,90.03,2036894135.0
20260522,83.07,90.0,90.68,82.68,1542237072.0
20260525,74.99,80.0,81.65,74.76,1157257226.0
20260526,73.51,74.02,76.56,70.57,744636946.0
20260527,73.5,71.55,75.8,71.06,667748286.0
