日期,收盘,开盘,最高,最低,成交额
20260511,97.5,85.55,107.98,82.6,3565643595.0
20260512,114.57,101.0,122.22,93.6,3687470497.0
20260513,110.61,107.0,117.49,102.5,2968160076.0
20260514,106.9,111.75,120.2,106.0,2844434372.0
20260515,95.31,99.86,99.86,88.91,1581505416.0
20260518,111.0,86.0,111.0,83.5,2516391962.0
20260519,101.99,113.56,121.21,101.58,2642212407.0
20260520,103.07,100.46,105.95,97.99,1731326520.0
20260521,89.9,98.86,102.9,89.38,1785656948.0
20260522,91.02,92.0,93.8,88.89,1074860507.0
20260525,92.82,89.02,95.28,87.08,1245719228.0
20260526,84.94,90.01,90.5,82.7,987832120.0
20260527,76.38,83.5,84.88,76.33,903113083.0
