日期,收盘,开盘,最高,最低,成交额
20260518,112.01,70.0,112.01,70.0,1222701206.0
20260519,88.88,89.86,98.76,85.0,996102514.0
20260520,102.35,90.0,109.18,88.01,981915977.0
20260521,86.64,97.12,100.9,85.68,740205768.0
20260522,77.0,86.94,87.07,74.92,533876249.0
20260525,66.56,73.0,74.9,65.81,410566241.0
20260526,64.2,66.0,66.1,60.0,262127717.0
20260527,65.29,62.5,69.76,62.33,283830459.0
