date,code,name,close_price,total_score
20260525,000035,中国天楹,5.93,33.1
20260512,000048,京基智农,14.87,12.2
20260513,000048,京基智农,14.58,7.0
20260514,000048,京基智农,14.62,8.0
20260515,000048,京基智农,14.47,4.8
20260518,000048,京基智农,13.96,1.4
20260519,000048,京基智农,14.51,9.2
20260520,000048,京基智农,14.25,3.8
20260521,000048,京基智农,13.68,2.8
20260522,000048,京基智农,13.61,2.8
20260525,000048,京基智农,13.42,2.8
20260512,000049,德赛电池,27.94,29.75
20260513,000049,德赛电池,28.22,31.73
20260514,000049,德赛电池,27.49,26.57
20260515,000049,德赛电池,27.53,30.47
20260518,000049,德赛电池,27.12,24.8
20260519,000049,德赛电池,26.44,24.14
20260520,000049,德赛电池,27.06,29.1
20260521,000049,德赛电池,26.42,24.44
20260522,000049,德赛电池,27.42,25.24
20260525,000049,德赛电池,26.89,26.71
20260512,000058,深赛格,8.33,12.08
20260513,000058,深赛格,8.28,12.08
20260514,000058,深赛格,8.11,9.49
20260515,000058,深赛格,8.05,5.9
20260518,000058,深赛格,7.92,3.91
20260519,000058,深赛格,7.99,7.9
20260520,000058,深赛格,7.75,3.72
20260521,000058,深赛格,7.53,2.64
20260522,000058,深赛格,7.58,3.44
20260525,000058,深赛格,7.55,4.44
20260512,000059,华锦股份,5.14,32.1
20260513,000059,华锦股份,5.1,32.1
20260514,000059,华锦股份,5.08,35.3
20260515,000059,华锦股份,5.05,33.7
20260518,000059,华锦股份,4.97,32.7
20260519,000059,华锦股份,4.91,33.7
20260520,000059,华锦股份,4.86,34.3
20260521,000059,华锦股份,4.75,30.8
20260522,000059,华锦股份,4.71,31.8
20260525,000059,华锦股份,4.58,31.8
20260512,000061,农 产 品,7.18,15.97
20260513,000061,农 产 品,7.3,20.74
20260514,000061,农 产 品,7.09,15.29
20260515,000061,农 产 品,6.94,15.73
20260518,000061,农 产 品,6.68,12.2
20260519,000061,农 产 品,6.73,14.18
20260520,000061,农 产 品,6.66,11.8
20260521,000061,农 产 品,6.48,13.85
20260522,000061,农 产 品,6.53,13.45
20260525,000061,农 产 品,6.56,15.43
20260512,000063,中兴通讯,38.09,40.66
20260513,000063,中兴通讯,38.83,46.92
