code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
600018,上港集团,3.4,6.52,3,-2.27,4,0.0,14.65
000001,平安银行,2.5,8.35,3,-3.91,4,0.0,13.94
000001,平安银行,2.5,8.35,3,-3.91,4,0.0,13.94
000021,深科技,4.9,1.2,8,-4.25,2,2.0,13.85
600029,南方航空,2.9,0.0,2,6.29,2,0.0,13.19
000513,丽珠集团,2.2,5.75,4,-2.82,4,0.0,13.13
000538,云南白药,3.2,4.16,3,-3.51,6,0.0,12.85
000523,红棉股份,1.0,0.0,3,4.68,4,0.0,12.68
000539,粤电力Ａ,1.7,0.78,8,-4.3,6,0.0,12.18
000425,徐工机械,3.6,2.92,4,-2.36,4,0.0,12.16
600007,中国国贸,2.1,8.37,4,-6.43,4,0.0,12.04
000078,海王生物,1.0,0.0,3,3.18,4,0.0,11.18
000530,冰山冷热,2.1,1.57,2,1.5,4,0.0,11.17
600064,南京高科,2.2,5.93,4,-4.96,4,0.0,11.17
600008,首创环保,1.9,9.14,6,-10.0,4,0.0,11.04
600016,民生银行,3.4,6.72,4,-7.1,4,0.0,11.02
000516,国际医学,1.0,0.0,6,-10.0,10,4.0,11.0
600058,五矿发展,1.0,0.0,4,1.65,4,0.0,10.65
000536,华映科技,1.0,0.0,3,-0.37,6,0.0,9.63
600017,日照港,1.9,6.32,6,-8.64,4,0.0,9.58
000065,北方国际,1.0,2.02,8,-10.0,8,0.0,9.02
000488,ST晨鸣,1.0,0.0,8,-10.0,10,0.0,9.0
000404,长虹华意,2.0,6.87,6,-10.0,4,0.0,8.87
000537,绿发电力,1.7,5.07,6,-10.0,6,0.0,8.77
000039,中集集团,2.8,1.16,10,-10.0,4,0.0,7.96
000401,金隅冀东,1.7,3.93,8,-10.0,4,0.0,7.63
000019,深粮控股,1.5,4.02,6,-10.0,6,0.0,7.52
300979,华利集团,2.1,9.28,2,-10.0,4,0.0,7.38
000521,长虹美菱,2.1,8.23,3,-10.0,4,0.0,7.33
000027,深圳能源,1.0,4.18,6,-10.0,6,0.0,7.18
600035,楚天高速,2.1,7.07,4,-10.0,4,0.0,7.17
000153,丰原药业,2.0,3.11,6,-10.0,6,0.0,7.11
000525,红太阳,1.0,0.0,10,-10.0,6,0.0,7.0
000520,凤凰航运,1.0,0.0,3,0.85,2,0.0,6.85
600054,黄山旅游,1.0,3.83,6,-10.0,6,0.0,6.83
000529,广弘控股,2.2,4.04,4,-10.0,6,0.0,6.24
000028,国药一致,1.7,2.9,4,-6.47,4,0.0,6.13
000498,山东路桥,2.2,5.71,4,-10.0,4,0.0,5.91
000004,*ST国华,1.8,0.0,2,-2.54,2,2.0,5.26
000524,岭南控股,1.8,1.24,6,-10.0,6,0.0,5.04
000010,美丽生态,1.0,0.0,8,-10.0,6,0.0,5.0
000158,常山北明,1.0,0.0,6,-10.0,8,0.0,5.0
000428,华天酒店,1.0,0.0,8,-10.0,6,0.0,5.0
000090,天健集团,2.0,4.73,4,-10.0,4,0.0,4.73
000070,特发信息,2.6,0.0,10,-10.0,2,0.0,4.6
000541,佛山照明,2.0,3.9,4,-10.0,4,0.0,3.9
000016,深康佳Ａ,1.0,0.0,2,-1.2,2,0.0,3.8
000403,派林生物,1.9,3.83,4,-10.0,4,0.0,3.73
600048,保利发展,2.9,4.78,4,-10.0,2,0.0,3.68
000159,国际实业,1.6,0.0,10,-10.0,2,0.0,3.6
000159,国际实业,1.6,0.0,10,-10.0,2,0.0,3.6
000007,全新好,1.5,0.0,8,-10.0,4,0.0,3.5
000156,华数传媒,1.0,4.43,4,-10.0,4,0.0,3.43
000501,武商集团,1.6,5.63,2,-10.0,4,0.0,3.23
000510,新金路,1.0,0.0,10,-10.0,2,0.0,3.0
000411,英特集团,1.7,5.18,2,-10.0,4,0.0,2.88
600037,歌华有线,2.0,0.72,6,-10.0,4,0.0,2.72
000026,飞亚达,1.7,4.93,2,-10.0,4,0.0,2.63
000410,沈阳机床,1.7,0.0,4,-7.13,4,0.0,2.57
300364,中文在线,4.3,0.0,6,-10.0,2,0.0,2.3
000034,神州数码,1.0,1.3,4,-10.0,6,0.0,2.3
000096,广聚能源,1.0,1.29,6,-10.0,4,0.0,2.29
000056,皇庭国际,1.0,0.0,4,-6.86,4,0.0,2.14
000055,方大集团,2.2,2.63,3,-10.0,4,0.0,1.83
