code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
688012,中微公司,4.7,4,0.16,10,20.0,10,10.0,4.0,10,72.86
300308,中际旭创,7.0,4,0.19,10,20.0,10,10.0,1.0,10,72.19
300502,新易盛,7.0,6,0.33,10,18.49,8,4.8,5.5,9,69.12
300661,圣邦股份,4.2,6,0.38,10,20.0,8,10.0,1.0,9,68.58
301377,鼎泰高科,2.7,4,0.39,10,20.0,8,6.8,7.0,9,67.89
603986,兆易创新,6.8,1,0.38,10,20.0,10,10.0,4.0,5,67.18
000938,紫光股份,6.8,5,0.41,10,20.0,6,7.4,1.0,9,65.61
688700,东威科技,2.0,4,0.55,10,19.0,10,9.0,2.0,9,65.55
688127,蓝特光学,1.8,2,0.61,10,20.0,10,9.6,2.0,9,65.01
688200,华峰测控,1.8,2,0.58,10,18.56,10,10.0,2.0,10,64.94
300236,上海新阳,3.0,4,0.95,10,20.0,8,7.6,2.0,9,64.55
002008,大族激光,6.6,6,0.29,10,20.0,6,10.0,0.0,5,63.89
300394,天孚通信,7.0,6,0.36,10,18.49,10,3.0,1.0,8,63.85
688279,峰岹科技,2.0,4,0.65,8,20.0,8,10.0,1.0,10,63.65
688652,京仪装备,1.6,6,0.16,10,14.88,10,10.0,2.0,9,63.64
002916,深南电路,6.3,2,1.43,10,18.99,6,9.6,1.0,8,63.32
300398,飞凯材料,3.5,4,0.39,10,15.4,6,10.0,6.0,8,63.29
300620,光库科技,5.8,4,0.15,10,20.0,6,7.2,1.0,9,63.15
300953,震裕科技,3.2,6,0.25,10,19.63,6,8.0,1.0,9,63.08
301371,敷尔佳,1.0,2,4.61,10,20.0,8,8.4,1.0,8,63.01
300666,江丰电子,4.4,2,0.38,10,18.26,8,8.8,2.0,9,62.84
300323,华灿光电,1.0,4,0.0,10,20.0,10,9.6,1.0,7,62.6
301031,中熔电气,1.0,6,0.53,10,20.0,10,6.0,1.0,8,62.53
001309,德明利,6.4,2,0.11,10,20.0,10,10.0,0.0,4,62.51
600522,中天科技,6.6,1,1.18,10,20.0,6,10.0,3.5,4,62.28
688549,中巨芯,1.0,5,0.0,10,19.55,10,10.0,5.5,1,62.05
600183,生益科技,7.0,0,1.62,10,18.75,10,9.6,0.0,5,61.97
603317,天味食品,1.0,4,5.95,10,20.0,6,8.0,0.0,7,61.95
002545,东方铁塔,1.6,6,2.48,10,20.0,6,5.8,0.0,10,61.88
688536,思瑞浦,1.7,6,0.11,10,20.0,6,10.0,0.0,8,61.81
301217,铜冠铜箔,4.9,2,0.0,10,19.5,6,8.4,2.0,9,61.8
301526,国际复材,3.9,6,0.21,10,18.06,6,9.6,0.0,8,61.77
688409,富创精密,1.6,2,0.0,10,20.0,10,10.0,0.0,8,61.6
688548,广钢气体,1.7,6,0.36,10,15.57,10,8.8,1.0,8,61.43
300475,香农芯创,6.4,2,0.09,10,20.0,6,8.8,0.0,8,61.29
301606,绿联科技,1.6,4,1.49,10,20.0,8,5.0,2.0,9,61.09
301071,力量钻石,1.7,2,1.35,10,20.0,8,10.0,0.0,8,61.05
688107,安路科技,1.0,0,0.0,10,20.0,10,10.0,1.0,9,61.0
300442,润泽科技,6.6,5,0.49,10,18.9,6,3.8,1.0,9,60.79
601138,工业富联,7.0,3,1.88,6,20.0,6,6.8,2.0,8,60.68
603697,有友食品,1.0,6,3.25,3,17.42,8,8.0,5.0,9,60.67
603283,赛腾股份,2.7,2,1.69,10,16.43,10,8.8,0.0,9,60.62
002979,雷赛智能,1.0,0,0.77,10,15.81,10,10.0,6.0,7,60.58
688003,天准科技,1.5,0,0.96,10,20.0,10,10.0,2.0,6,60.46
603638,艾迪精密,1.0,4,0.77,10,20.0,6,9.6,2.0,7,60.37
600584,长电科技,6.4,4,0.34,10,15.34,6,10.0,4.0,4,60.08
688390,固德威,1.9,0,0.0,10,19.18,8,9.6,1.0,10,59.68
301297,富乐德,1.0,8,0.23,10,15.09,6,10.0,1.0,8,59.32
300613,富瀚微,1.0,2,0.25,10,20.0,6,10.0,2.0,8,59.25
002421,达实智能,1.0,5,0.0,8,18.24,10,9.0,4.0,4,59.24
688063,派能科技,1.9,8,0.31,10,19.88,6,5.0,0.0,8,59.09
688396,华润微,3.4,4,0.16,8,18.8,6,7.6,1.0,10,58.96
605020,永和股份,1.0,6,2.86,8,16.68,10,8.4,1.0,5,58.94
688337,普源精电,1.9,5,1.24,10,20.0,6,5.6,1.0,8,58.74
000685,中山公用,1.9,8,5.55,6,16.62,8,5.6,1.0,6,58.67
603162,海通发展,1.0,2,0.52,10,20.0,8,9.0,0.0,8,58.52
600869,远东股份,5.0,6,0.09,10,17.29,6,9.0,0.0,5,58.38
001339,智微智能,2.3,2,0.06,10,20.0,6,9.0,1.0,8,58.36
600186,莲花控股,5.5,2,0.0,10,18.3,6,8.4,1.0,7,58.2
603156,养元饮品,1.0,5,3.89,10,15.67,10,9.6,0.0,3,58.16
688486,龙迅股份,2.2,6,2.39,8,15.64,6,8.8,0.0,9,58.03
300602,飞荣达,3.2,6,0.31,8,18.88,6,5.6,1.0,9,57.99
603083,剑桥科技,6.6,6,0.3,10,20.0,2,10.0,2.0,1,57.9
603826,坤彩科技,1.0,6,0.81,10,20.0,8,3.0,0.0,9,57.81
300199,翰宇药业,1.0,4,0.0,10,15.79,10,8.0,1.0,8,57.79
603256,宏和科技,5.7,6,0.1,10,19.38,2,9.6,2.0,3,57.78
601678,滨化股份,1.0,0,1.25,10,16.09,10,8.4,7.0,4,57.74
301511,德福科技,4.0,1,0.21,10,20.0,6,8.4,0.0,8,57.61
300657,弘信电子,3.8,5,0.0,10,14.1,10,9.6,0.0,5,57.5
000833,粤桂股份,2.5,5,1.26,10,19.63,6,8.0,1.0,4,57.39
600961,株冶集团,3.9,6,0.0,10,20.0,4,8.4,4.0,1,57.3
688766,普冉股份,1.0,2,0.06,10,20.0,8,10.0,1.0,5,57.06
000029,深深房A,1.0,2,0.23,10,18.62,10,9.0,1.0,5,56.85
688202,美迪西,1.8,7,0.0,8,20.0,8,2.0,1.0,9,56.8
002384,东山精密,7.0,2,0.0,10,20.0,4,9.6,2.0,2,56.6
603093,南华期货,1.0,2,0.58,8,20.0,8,8.0,4.0,5,56.58
301055,张小泉,1.6,1,1.6,10,18.16,8,6.2,2.0,8,56.56
688209,英集芯,1.0,4,0.48,10,19.01,6,6.0,1.0,9,56.49
600552,凯盛科技,4.8,2,0.56,10,14.02,8,9.6,3.5,4,56.48
688503,聚和材料,1.8,6,0.78,10,20.0,4,6.8,1.0,6,56.38
003004,*ST声迅,1.8,1,0.0,10,19.5,6,9.0,0.0,9,56.3
000636,风华高科,3.9,1,0.68,10,16.09,6,9.6,0.0,9,56.27
301631,壹连科技,2.0,4,1.49,10,12.08,8,9.6,1.0,8,56.17
000811,冰轮环境,4.0,2,0.58,10,10.71,10,9.6,1.0,8,55.89
002245,蔚蓝锂芯,5.9,1,0.72,10,15.56,10,8.4,1.0,3,55.58
300408,三环集团,3.9,2,1.02,10,20.0,4,9.6,0.0,5,55.52
301392,汇成真空,1.9,6,0.11,10,18.45,6,9.0,1.0,3,55.46
688717,艾罗能源,1.6,1,0.0,10,20.0,6,6.8,1.0,9,55.4
603155,新亚强,1.5,4,3.56,8,9.92,8,8.4,3.0,9,55.38
002463,沪电股份,6.8,3,0.96,10,20.0,4,5.6,2.0,3,55.36
002338,奥普光电,1.1,3,0.22,6,20.0,6,8.0,1.0,10,55.32
688008,澜起科技,6.5,6,0.31,10,12.47,4,10.0,4.0,2,55.28
002079,苏州固锝,2.1,4,0.27,10,20.0,4,8.4,4.5,2,55.27
600158,中体产业,2.5,8,0.0,10,17.56,4,8.0,0.0,5,55.06
688690,纳微科技,1.7,4,0.57,10,18.75,6,8.0,0.0,6,55.02
000672,上峰水泥,1.0,5,4.72,10,10.85,10,8.4,1.0,4,54.97
600971,恒源煤电,1.6,5,5.56,10,17.46,4,6.2,1.0,4,54.82
300607,拓斯达,1.0,6,0.19,4,20.0,6,7.6,2.0,8,54.79
688048,长光华芯,3.8,6,0.0,10,18.98,2,10.0,2.0,2,54.78
601208,东材科技,5.2,4,0.22,10,18.66,4,9.6,1.0,2,54.68
688256,寒武纪,6.4,3,0.25,2,19.0,6,2.4,5.5,10,54.55
600575,淮河能源,1.7,6,7.8,8,9.8,6,5.0,1.0,9,54.3
300861,美畅股份,1.0,4,1.74,10,20.0,4,8.4,0.0,5,54.14
688559,海目星,2.1,4,0.0,10,20.0,4,6.0,2.0,6,54.1
301095,广立微,1.6,4,0.36,10,9.68,10,8.4,1.0,9,54.04
300738,奥飞数据,4.5,2,0.1,10,18.64,6,3.8,1.0,8,54.04
002709,天赐材料,6.3,5,0.71,8,20.0,2,8.0,2.0,2,54.01
002747,埃斯顿,1.9,4,0.0,6,15.44,8,7.6,2.0,9,53.94
601869,长飞光纤,7.0,6,0.15,10,19.71,4,3.0,1.0,3,53.86
688630,芯碁微装,2.1,3,0.53,10,20.0,4,6.2,2.0,6,53.83
600875,东方电气,4.5,7,2.65,10,8.12,8,2.0,2.5,9,53.77
300687,赛意信息,1.0,5,0.0,10,12.76,8,9.0,0.0,8,53.76
000880,潍柴重机,1.0,5,0.74,8,20.0,8,6.8,1.0,3,53.54
002947,恒铭达,1.0,1,1.15,10,15.95,6,8.4,1.0,9,53.5
605117,德业股份,3.4,6,2.26,10,20.0,4,6.8,0.0,1,53.46
300476,胜宏科技,7.0,4,1.15,8,18.49,2,6.8,4.0,2,53.44
600903,贵州燃气,1.0,0,0.33,10,15.41,10,8.4,1.0,7,53.14
300031,宝通科技,1.0,4,0.81,6,19.0,6,8.0,0.0,8,52.81
300726,宏达电子,1.0,2,3.53,6,16.83,6,8.4,1.0,8,52.76
000552,甘肃能化,1.5,2,0.0,8,19.62,4,8.4,0.0,9,52.52
301510,固高科技,1.0,4,0.24,6,19.25,6,10.0,1.0,5,52.49
603915,国茂股份,1.0,6,1.07,4,12.86,8,8.4,1.0,10,52.33
600323,瀚蓝环境,1.8,4,4.83,6,19.96,6,5.6,0.0,4,52.19
300184,力源信息,5.2,2,0.0,10,20.0,4,8.8,0.0,2,52.0
300747,锐科激光,3.1,4,0.2,10,18.89,4,4.8,2.0,5,51.99
002354,天娱数科,1.0,0,0.0,6,15.85,10,9.0,1.0,9,51.85
688205,德科立,2.6,2,0.0,10,19.39,6,4.8,2.0,5,51.79
002015,协鑫能科,5.3,6,0.93,10,9.16,8,7.4,1.0,4,51.79
688097,博众精工,1.9,4,0.47,10,20.0,6,2.4,1.0,6,51.77
688400,凌云光,1.0,1,0.25,10,15.43,6,9.0,1.0,8,51.68
600989,宝丰能源,1.0,5,3.37,10,14.21,6,5.0,0.0,7,51.58
688519,南亚新材,2.0,4,0.35,10,19.25,4,6.8,2.0,3,51.4
688036,传音控股,1.8,2,2.88,3,18.82,8,6.8,0.0,8,51.3
688041,海光信息,6.8,4,0.1,10,18.98,2,6.4,2.0,1,51.28
688001,华兴源创,1.7,6,0.19,10,18.63,2,9.6,0.0,3,51.12
002859,洁美科技,1.9,2,0.46,10,18.69,6,6.0,0.0,6,51.05
688300,联瑞新材,1.5,4,0.83,10,6.71,10,10.0,0.0,8,51.04
001337,四川黄金,1.0,2,1.79,10,19.25,2,7.6,1.0,6,50.64
301219,腾远钴业,1.4,5,2.37,8,20.0,2,5.8,1.0,5,50.57
300821,东岳硅材,1.8,5,0.26,10,17.07,4,6.2,1.0,5,50.33
688515,裕太微,1.0,2,0.0,10,16.16,6,10.0,1.0,4,50.16
688416,恒烁股份,1.0,2,0.0,10,20.0,4,10.0,1.0,2,50.0
301500,飞南资源,1.0,6,0.39,10,20.0,2,7.4,2.0,1,49.79
002484,江海股份,3.0,5,0.97,10,6.15,10,9.6,1.0,4,49.72
601101,昊华能源,1.0,2,4.29,10,8.0,6,8.4,1.0,9,49.69
002222,福晶科技,6.1,4,0.19,10,13.78,4,9.6,1.0,1,49.67
603118,共进股份,4.1,6,0.38,10,12.36,4,4.8,7.0,1,49.64
688146,中船特气,1.7,1,0.29,10,14.53,10,10.0,1.0,1,49.52
601126,四方股份,5.1,0,1.71,10,5.64,10,9.0,0.0,8,49.45
002518,科士达,1.0,0,1.42,10,12.42,10,9.6,1.0,4,49.44
600176,中国巨石,7.0,3,1.11,10,17.49,2,3.8,2.0,3,49.4
300693,盛弘股份,1.6,4,1.68,10,10.12,6,6.8,1.0,8,49.2
688380,中微半导,1.0,6,1.17,10,20.0,4,3.0,1.0,3,49.17
002364,中恒电气,5.1,2,0.41,10,7.85,8,6.8,1.0,8,49.16
300438,鹏辉能源,3.9,1,0.14,10,19.63,4,8.4,1.0,1,49.07
301487,盟固利,1.5,3,0.05,8,19.63,4,6.8,1.0,5,48.98
300077,国民技术,2.4,0,0.0,10,11.94,8,7.6,1.0,8,48.94
600188,兖矿能源,1.0,6,2.9,10,1.92,6,8.0,5.0,8,48.82
603893,瑞芯微,3.4,5,1.32,4,20.0,4,3.0,1.0,7,48.72
000792,盐湖股份,4.7,7,0.0,8,20.0,2,0.0,4.0,3,48.7
688372,伟测科技,1.9,6,0.7,10,20.0,4,3.0,1.0,2,48.6
603588,高能环境,1.0,4,1.52,10,20.0,2,1.0,7.0,2,48.52
002466,天齐锂业,5.7,2,0.0,10,20.0,2,5.8,1.0,2,48.5
002192,融捷股份,4.3,3,0.48,10,20.0,2,7.6,0.0,1,48.38
600872,中炬高新,1.2,2,4.32,8,16.86,4,5.0,1.0,6,48.38
600105,永鼎股份,6.5,4,0.06,10,2.64,6,10.0,1.0,8,48.2
600999,招商证券,3.3,4,5.03,3,19.0,6,3.8,0.0,4,48.13
603876,鼎胜新材,3.4,5,0.91,10,15.81,2,8.0,1.0,2,48.12
600150,中国船舶,4.6,5,1.91,8,17.12,2,7.4,1.0,1,48.03
002475,立讯精密,6.6,4,0.38,10,10.56,4,8.4,1.0,3,47.94
600452,涪陵电力,1.7,5,1.1,10,15.91,6,3.2,0.0,5,47.91
603019,中科曙光,6.7,4,0.77,8,15.24,4,6.2,1.0,2,47.91
002716,湖南白银,1.6,4,0.0,10,20.0,2,1.2,7.0,2,47.8
000966,长源电力,3.1,2,0.0,8,17.47,6,6.2,0.0,5,47.77
600353,旭光电子,1.0,4,0.66,10,3.03,10,10.0,1.0,8,47.69
301316,慧博云通,1.0,6,0.34,10,6.34,6,9.0,0.0,9,47.68
000539,粤电力Ａ,4.1,4,0.57,10,15.99,2,9.0,0.0,2,47.66
002371,北方华创,6.2,4,0.25,10,3.42,6,7.6,4.0,6,47.47
002832,比音勒芬,1.0,6,5.88,10,9.96,4,7.4,0.0,3,47.24
603699,纽威股份,1.0,3,3.21,8,15.61,4,8.4,0.0,4,47.22
300905,宝丽迪,1.5,6,0.81,10,10.91,4,9.0,1.0,4,47.22
002202,金风科技,3.2,5,1.55,10,19.5,2,3.8,0.0,2,47.05
605376,博迁新材,1.0,5,0.17,10,20.0,2,5.8,1.0,2,46.97
300866,安克创新,2.8,2,2.49,8,9.71,8,6.8,1.0,6,46.8
601689,拓普集团,4.5,4,1.37,2,1.92,8,8.0,7.0,10,46.79
688006,杭可科技,1.8,6,0.97,8,7.13,6,6.8,0.0,10,46.7
600023,浙能电力,3.2,4,7.4,10,0.69,6,6.2,1.0,8,46.49
603057,紫燕食品,1.0,5,1.35,10,19.21,4,3.8,1.0,1,46.36
688313,仕佳光子,4.3,4,0.35,10,9.67,4,10.0,2.0,2,46.32
002498,汉缆股份,3.1,4,0.83,10,9.9,8,4.4,1.0,5,46.23
688498,源杰科技,5.0,5,0.13,10,20.0,2,2.0,0.0,2,46.13
600206,有研新材,6.9,4,0.63,10,10.56,2,10.0,1.0,1,46.09
603026,石大胜华,3.2,2,0.08,10,20.0,4,3.8,1.0,2,46.08
603305,旭升集团,1.0,4,1.91,4,15.53,6,5.6,2.0,6,46.04
600026,中远海能,1.0,5,3.54,10,17.85,4,2.6,1.0,1,45.99
300776,帝尔激光,2.5,8,0.55,10,-1.85,10,9.6,0.0,7,45.8
601975,招商南油,1.8,6,1.14,10,14.2,4,5.6,1.0,2,45.74
300811,铂科新材,1.5,2,0.39,10,12.37,4,8.4,0.0,7,45.66
300855,图南股份,1.7,5,0.78,8,18.48,4,1.6,0.0,6,45.56
300127,银河磁体,1.9,5,2.52,6,18.19,4,3.8,1.0,3,45.41
002174,游族网络,1.0,2,0.0,3,13.96,8,8.4,1.0,8,45.36
001287,中电港,2.5,5,0.83,10,20.0,2,3.0,0.0,2,45.33
600338,西藏珠峰,3.8,2,0.19,10,18.24,2,5.0,2.0,2,45.23
002487,大金重工,2.2,5,0.22,10,19.0,2,3.8,0.0,3,45.22
600415,小商品城,2.8,3,6.29,2,11.88,6,6.2,1.0,6,45.17
300672,国科微,1.0,2,0.0,10,6.94,6,10.0,0.0,9,44.94
601609,金田股份,1.0,2,2.09,8,4.36,10,8.4,1.0,8,44.85
300750,宁德时代,6.6,2,1.04,8,20.0,2,2.0,2.0,1,44.64
600111,北方稀土,4.4,5,0.5,6,19.21,2,4.4,1.0,2,44.51
300260,新莱应材,1.0,6,0.16,6,2.57,10,9.6,1.0,8,44.33
002563,森马服饰,1.5,3,4.81,6,17.25,4,5.6,1.0,1,44.16
002460,赣锋锂业,5.1,2,0.38,10,20.0,2,1.6,1.0,2,44.08
300083,创世纪,1.6,4,0.0,10,-1.52,10,10.0,2.0,8,44.08
002650,ST加加,1.9,8,0.0,8,16.18,4,5.0,0.0,1,44.08
301029,怡合达,1.9,3,3.23,8,3.97,6,4.8,4.0,9,43.9
603297,永新光学,1.0,4,1.28,10,0.99,4,9.6,7.0,6,43.87
600350,山东高速,2.1,6,6.3,8,2.22,6,6.2,0.0,7,43.82
600667,太极实业,1.2,1,0.99,10,4.52,10,9.0,0.0,7,43.71
603099,长白山,1.9,4,0.78,2,18.42,6,4.6,0.0,6,43.7
300033,同花顺,3.5,5,4.32,4,18.87,2,2.0,1.0,3,43.69
000950,重药控股,1.0,6,0.93,6,12.61,6,5.0,1.0,5,43.54
601872,招商轮船,1.0,4,2.93,10,20.0,2,1.4,1.0,1,43.33
300576,容大感光,1.0,1,0.31,8,-0.99,10,10.0,7.0,7,43.32
002317,众生药业,1.0,1,1.78,8,9.54,6,8.0,0.0,8,43.32
002378,章源钨业,1.0,4,0.8,10,20.0,2,1.4,2.0,2,43.2
002457,青龙管业,1.0,6,1.88,8,2.91,8,7.4,0.0,8,43.19
603993,洛阳钼业,5.2,5,3.12,2,20.0,2,0.8,4.0,1,43.12
000762,西藏矿业,3.8,3,0.0,10,20.0,2,1.2,1.0,2,43.0
300276,三丰智能,1.0,1,0.0,2,14.98,10,6.0,4.0,4,42.98
300548,长芯博创,3.7,3,0.23,10,16.94,2,3.0,2.0,2,42.87
300007,汉威科技,1.6,4,0.21,2,14.98,6,5.0,1.0,8,42.79
002938,鹏鼎控股,5.7,2,2.24,10,-2.75,10,9.6,2.0,4,42.79
688331,荣昌生物,1.5,7,0.0,10,18.84,2,0.4,1.0,2,42.74
002158,汉钟精机,1.0,6,2.83,10,3.28,4,9.6,0.0,6,42.71
000682,东方电子,4.1,4,0.73,8,8.42,6,4.4,1.0,6,42.65
605099,共创草坪,1.0,1,3.44,10,11.72,2,7.4,2.0,4,42.56
300014,亿纬锂能,5.5,3,0.72,3,19.0,2,0.8,5.5,3,42.52
600072,中船科技,1.0,5,0.0,6,19.45,2,5.0,1.0,3,42.45
600482,中国动力,1.8,4,1.13,10,15.93,2,2.0,2.5,3,42.36
002557,洽洽食品,1.8,2,7.52,4,20.0,2,2.0,0.0,3,42.32
600039,四川路桥,2.0,3,8.52,2,17.75,4,1.0,3.0,1,42.27
000301,东方盛虹,2.2,5,0.0,8,14.83,4,6.2,1.0,1,42.23
688432,有研硅,1.6,1,0.56,10,3.05,6,10.0,1.0,9,42.21
000333,美的集团,4.6,3,7.45,6,-2.24,6,4.4,5.0,8,42.21
688686,奥普特,2.1,1,0.8,6,5.44,8,8.8,1.0,9,42.14
600531,豫光金铅,1.5,5,2.89,10,9.7,2,5.0,4.0,2,42.09
605111,新洁能,1.0,2,0.76,10,1.21,8,10.0,0.0,9,41.97
688005,容百科技,3.2,3,0.0,3,19.96,2,6.8,1.0,3,41.96
002050,三花智控,1.8,4,1.06,3,3.25,6,6.8,7.0,9,41.91
600259,中稀有色,3.9,5,0.33,10,16.24,2,1.4,1.0,2,41.87
301268,铭利达,1.0,3,0.0,10,19.21,2,2.6,3.0,1,41.81
002326,永太科技,1.0,7,0.0,2,20.0,4,0.8,2.0,5,41.8
